Market,USM,NE Version,Release Version,eNB Name,OTHER eNB ID,eNB ID,OTHER CELL ID (DELETE),Cell ID,Cell Source,cell-identity,administrative-state,Lat,Long,TAC,PCI,RACH,Band Name,Bandwidth (MHz),EARFCN DL,EARFCN UL,Output Power (dBm),Tx Diversity,Rx Diversity,SDL,Cell Radius (km),Azimuth,NBIoT,eMTC,DSS,LCC Card,DSP Index,DSP Cell Index,CPRI Port ID,Primary CPRI Port ID,RU Port ID,ZCZC,PRACH CONFIG INDEX,PRACH CONFIG INDEX (new),MULTI CARRIER TYPE,aliasName,Market CLLI Code,NBIoT TAC,emAreaId,Electrical Tilt,RET-CAP,Mechanical Downtilt,Antenna(before),Antenna(after),RRH Type(before),RRH Type(after),NOKIA_RRH_UNIT_TYPE,NOKIA_RRH_CODE,RRH_CODE(after),Priority,Nokia eNB count,Peoplesoft Location Code,Site Type,DAS OUTPUT POWER,antennaPathDelayDL,antennaPathDelayUL,antennaPathDelayDL (m),antennaPathDelayUL (m),DATE,Nokia_Cell_Max_Power,MMU_CELL,MMU_BISECTOR_ID,MMU_Beamwidth,Network,comments,CSV File,pa,pb,p0Nominal PUSCH,p0Nominal PUCCH,pSRS Offset,PRS MUTING CONFIG VALUE,Optic Distance(km),cbsd-index,grant-index,CBRS user-id,CBRS Fcc-Id,call-sign,max eirp threshold,Preferred Earfcn,CBSD Category,X Pole Antenna,CBRS/LAA Antenna Gain(dBi),USM_IP,numBlankDlPrbsUp,numBlankDlPrbsDown,actDlSlimCarrier,selectOuterPuschRegion,blankedPucch,lteNrDssMode
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,32,NCB,47567904,unlocked,33.796378,-93.389486,47477,143,150,AWS-1,20MHz,2050,20050,46.0,4,4,False,29.5,300,,,,1,1,2,5,,0,12,5,5,cfg358-multi-carrier-20m-20m-20m-10m-5m-config3,185812_3_2;MC;PRESCOTT_EAST_AR,LTROARTB,,5099,0,Capable,0, ,NHH-65C-R2B_00DT_2100, ,Samsung RRH (B2/B66A RRH ORAN ),,,Samsung RRH (RF4439d-25A),,,223983,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,46158,,,,,,,,,,,,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,14,NCB,47567886,unlocked,33.796378,-93.389486,47477,141,150,PCS-1,5MHz,775,18775,43.0,4,4,False,29.5,70,,,,1,0,0,3,,0,12,3,3,cfg355-multi-carrier-10m-10m-10m-10m-5m-5m-5m-5m-config3,185812_1_4;MC;PRESCOTT_EAST_AR,LTROARTB,,5099,0,Capable,0, ,NHH-65C-R2B_00DT_1900, ,Samsung RRH (B2/B66A RRH ORAN ),,,Samsung RRH (RF4439d-25A),,,223983,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,46158,,,,,,,,,,,,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,24,NCB,47567896,unlocked,33.796378,-93.389486,47477,142,150,PCS-1,5MHz,775,18775,43.0,4,4,False,29.5,190,,,,1,0,1,4,,0,12,4,4,cfg355-multi-carrier-10m-10m-10m-10m-5m-5m-5m-5m-config3,185812_2_4;MC;PRESCOTT_EAST_AR,LTROARTB,,5099,0,Capable,0, ,NHH-65C-R2B_00DT_1900, ,Samsung RRH (B2/B66A RRH ORAN ),,,Samsung RRH (RF4439d-25A),,,223983,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,46158,,,,,,,,,,,,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,34,NCB,47567906,unlocked,33.796378,-93.389486,47477,143,150,PCS-1,5MHz,775,18775,43.0,4,4,False,29.5,300,,,,1,0,2,5,,0,12,5,5,cfg355-multi-carrier-10m-10m-10m-10m-5m-5m-5m-5m-config3,185812_3_4;MC;PRESCOTT_EAST_AR,LTROARTB,,5099,0,Capable,0, ,NHH-65C-R2B_00DT_1900, ,Samsung RRH (B2/B66A RRH ORAN ),,,Samsung RRH (RF4439d-25A),,,223983,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,46158,,,,,,,,,,,,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,17,NCB,47567889,unlocked,33.796378,-93.389486,47477,141,150,850-1,5MHz,2585,20585,43.0,4,4,False,29.5,70,,,,0,1,0,0,,0,12,3,3,cfg355-multi-carrier-10m-10m-10m-10m-5m-5m-5m-5m-config3,185812_1_7;MC;PRESCOTT EAST AR,LTROARTB,,5099,0,Capable,0, ,NHH-65C-R2B_00DT_0850, ,Samsung RRH (B5/B13 RRH ORAN ),,,Samsung RRH (RF4440d-13A),,,223983,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,46158,,,,,,,,,,,,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,27,NCB,47567899,unlocked,33.796378,-93.389486,47477,142,150,850-1,5MHz,2585,20585,43.0,4,4,False,29.5,190,,,,0,1,1,1,,0,12,4,4,cfg355-multi-carrier-10m-10m-10m-10m-5m-5m-5m-5m-config3,185812_2_7;MC;PRESCOTT EAST AR,LTROARTB,,5099,0,Capable,0, ,NHH-65C-R2B_00DT_0850, ,Samsung RRH (B5/B13 RRH ORAN ),,,Samsung RRH (RF4440d-13A),,,223983,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,46158,,,,,,,,,,,,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,37,NCB,47567909,unlocked,33.796378,-93.389486,47477,143,150,850-1,5MHz,2585,20585,43.0,4,4,False,29.5,300,,,,0,1,2,2,,0,12,5,5,cfg355-multi-carrier-10m-10m-10m-10m-5m-5m-5m-5m-config3,185812_3_7;MC;PRESCOTT EAST AR,LTROARTB,,5099,0,Capable,0, ,NHH-65C-R2B_00DT_0850, ,Samsung RRH (B5/B13 RRH ORAN ),,,Samsung RRH (RF4440d-13A),,,223983,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,46158,,,,,,,,,,,,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,18,NCB,47567890,unlocked,33.796378,-93.389486,47477,141,150,AWS3-1,5MHz,66911,132447,40.0,4,4,False,29.5,70,,,,1,2,0,3,,0,12,3,3,cfg355-multi-carrier-10m-10m-10m-10m-5m-5m-5m-5m-config3,185812_1_8;MC;PRESCOTT_EAST_AR,LTROARTB,,5099,0,Capable,0, ,NHH-65C-R2B_00DT_2100, ,Samsung RRH (B2/B66A RRH ORAN ),,,Samsung RRH (RF4439d-25A),,,223983,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,46158,,,,,,,,,,,,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,28,NCB,47567900,unlocked,33.796378,-93.389486,47477,142,150,AWS3-1,5MHz,66911,132447,40.0,4,4,False,29.5,190,,,,1,2,1,4,,0,12,4,4,cfg355-multi-carrier-10m-10m-10m-10m-5m-5m-5m-5m-config3,185812_2_8;MC;PRESCOTT_EAST_AR,LTROARTB,,5099,0,Capable,0, ,NHH-65C-R2B_00DT_2100, ,Samsung RRH (B2/B66A RRH ORAN ),,,Samsung RRH (RF4439d-25A),,,223983,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,46158,,,,,,,,,,,,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,38,NCB,47567910,unlocked,33.796378,-93.389486,47477,143,150,AWS3-1,5MHz,66911,132447,40.0,4,4,False,29.5,300,,,,1,2,2,5,,0,12,5,5,cfg355-multi-carrier-10m-10m-10m-10m-5m-5m-5m-5m-config3,185812_3_8;MC;PRESCOTT_EAST_AR,LTROARTB,,5099,0,Capable,0, ,NHH-65C-R2B_00DT_2100, ,Samsung RRH (B2/B66A RRH ORAN ),,,Samsung RRH (RF4439d-25A),,,223983,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,46158,,,,,,,,,,,,2001:5000:a45:3143:432:292::a100,,,,,,
